user_id,tenure_months,prior_engagement_score,weekly_watch_hours,num_devices,device_type,payment_method,account_type,has_family_profile,region,promo_eligible,assigned_promo
0,39,0.283,4.9,4,smart_tv,paypal,premium,0,west,1,1
1,29,0.085,0.9,2,mobile,gift_card,premium,0,west,0,0
2,15,0.262,2.6,3,web,gift_card,ad-supported,0,west,0,0
3,43,0.231,5.7,3,web,credit_card,student_discount,0,northeast,1,1
4,8,0.096,8.5,3,tablet,gift_card,student_discount,0,northeast,1,1
5,21,0.34,4.2,1,web,apple_pay,student_discount,0,west,1,0
6,39,0.157,1.3,1,mobile,credit_card,ad-supported,0,northeast,1,1
7,19,0.162,3.3,2,smart_tv,credit_card,ad-supported,1,west,1,1
8,23,0.195,3.6,3,roku,credit_card,student_discount,0,northeast,1,1
9,11,0.389,1.8,1,smart_tv,gift_card,student_discount,1,west,1,1
10,11,0.324,0.7,4,mobile,paypal,premium,0,south,1,1
11,24,0.057,5.8,3,mobile,gift_card,premium,0,northeast,1,1
12,36,0.507,2.7,3,mobile,credit_card,ad-supported,1,west,1,0
13,40,0.304,5.3,1,tablet,paypal,student_discount,0,midwest,1,0
14,24,0.297,3.9,3,web,credit_card,student_discount,0,south,1,1
15,3,0.137,2.7,2,mobile,credit_card,ad-supported,0,northeast,1,1
16,22,0.449,2.4,2,roku,paypal,student_discount,0,west,1,1
17,2,0.252,3.1,1,web,paypal,ad-supported,1,midwest,1,1
18,24,0.17,4.8,3,web,credit_card,premium,1,midwest,1,1
19,44,0.08,0.2,2,tablet,credit_card,student_discount,1,midwest,1,1
20,30,0.233,4.7,3,smart_tv,gift_card,student_discount,0,south,1,1
21,38,0.484,4.5,2,web,gift_card,ad-supported,1,south,1,0
22,2,0.169,5.8,2,web,gift_card,ad-supported,0,midwest,1,1
23,21,0.075,8.8,3,mobile,apple_pay,ad-supported,0,south,1,1
24,33,0.185,1.8,1,roku,credit_card,ad-supported,0,west,1,1
25,12,0.168,0.8,1,mobile,gift_card,premium,0,northeast,1,1
26,22,0.276,3.8,1,roku,credit_card,ad-supported,1,northeast,1,1
27,44,0.131,3.5,3,web,apple_pay,student_discount,0,northeast,0,0
28,25,0.154,2.5,3,roku,gift_card,student_discount,0,south,1,1
29,27,0.09,4.6,3,mobile,gift_card,student_discount,1,west,0,0
30,42,0.347,1.9,1,mobile,credit_card,student_discount,1,west,1,1
31,28,0.165,2.7,3,smart_tv,credit_card,premium,0,south,1,1
32,16,0.145,4.7,1,tablet,paypal,premium,0,south,0,0
33,15,0.451,2.5,2,smart_tv,paypal,premium,0,west,1,0
34,47,0.529,3.5,1,web,gift_card,ad-supported,0,west,1,0
35,44,0.377,2.5,1,roku,paypal,student_discount,0,midwest,0,0
36,3,0.498,1.3,4,mobile,gift_card,student_discount,1,northeast,0,0
37,37,0.423,5.7,4,mobile,credit_card,premium,0,midwest,0,0
38,7,0.217,5.4,1,mobile,paypal,ad-supported,0,west,1,1
39,21,0.105,5.3,4,mobile,gift_card,premium,0,midwest,1,1
40,9,0.177,2.9,3,web,credit_card,student_discount,0,northeast,1,1
41,39,0.156,6.1,4,tablet,gift_card,student_discount,1,south,1,1
42,18,0.358,6.2,4,smart_tv,apple_pay,premium,1,midwest,1,0
43,4,0.238,8.1,4,smart_tv,paypal,student_discount,0,midwest,1,1
44,25,0.044,2.9,1,mobile,apple_pay,premium,1,south,1,1
45,14,0.177,3.7,2,mobile,credit_card,premium,0,south,1,1
46,9,0.081,1.3,2,roku,gift_card,premium,1,northeast,1,1
47,26,0.233,8.8,2,mobile,gift_card,premium,0,west,1,1
48,2,0.456,2.6,2,smart_tv,credit_card,student_discount,0,midwest,1,1
49,20,0.111,1.0,2,roku,apple_pay,ad-supported,0,northeast,1,1
50,28,0.524,8.2,2,roku,gift_card,student_discount,0,midwest,1,0
51,47,0.249,2.9,1,mobile,apple_pay,premium,0,northeast,0,0
52,7,0.358,11.1,3,roku,apple_pay,student_discount,1,northeast,1,0
53,44,0.141,3.4,3,tablet,apple_pay,ad-supported,1,south,1,1
54,8,0.256,1.7,2,mobile,paypal,student_discount,1,west,1,1
55,47,0.524,5.9,4,tablet,apple_pay,premium,0,midwest,1,0
56,35,0.482,2.7,4,mobile,paypal,ad-supported,0,west,0,0
57,14,0.264,5.1,1,tablet,apple_pay,student_discount,1,northeast,1,1
58,17,0.224,1.8,2,mobile,apple_pay,ad-supported,0,south,0,0
59,36,0.276,4.7,2,smart_tv,paypal,student_discount,0,west,1,1
60,40,0.321,2.4,4,mobile,gift_card,ad-supported,0,south,1,1
61,4,0.557,5.6,2,smart_tv,gift_card,premium,1,south,1,1
62,2,0.162,3.1,2,web,credit_card,premium,1,midwest,1,1
63,6,0.155,3.7,4,web,credit_card,ad-supported,1,northeast,1,1
64,42,0.21,2.7,3,mobile,gift_card,student_discount,1,midwest,1,1
65,4,0.107,3.2,3,smart_tv,credit_card,premium,1,midwest,1,1
66,29,0.364,5.6,1,smart_tv,gift_card,student_discount,1,west,1,0
67,18,0.07,1.3,4,roku,credit_card,ad-supported,0,south,1,1
68,26,0.575,4.1,1,roku,gift_card,student_discount,1,midwest,1,0
69,44,0.282,14.9,2,tablet,paypal,ad-supported,0,midwest,1,1
70,34,0.379,7.5,4,roku,credit_card,student_discount,0,northeast,1,0
71,10,0.046,2.9,3,mobile,paypal,ad-supported,1,west,0,0
72,36,0.391,3.6,2,roku,paypal,ad-supported,1,west,1,0
73,14,0.326,2.2,3,roku,paypal,ad-supported,0,south,1,1
74,31,0.345,5.0,3,mobile,paypal,ad-supported,0,south,1,0
75,15,0.237,1.0,1,mobile,paypal,student_discount,1,west,1,1
76,8,0.424,2.4,4,tablet,apple_pay,premium,0,west,1,1
77,14,0.129,1.7,4,smart_tv,paypal,ad-supported,1,northeast,1,1
78,23,0.33,2.3,4,roku,credit_card,ad-supported,1,midwest,0,0
79,40,0.067,3.9,1,web,paypal,premium,0,northeast,1,1
80,21,0.106,0.3,3,smart_tv,credit_card,premium,1,northeast,1,1
81,16,0.536,2.6,1,mobile,paypal,ad-supported,1,west,1,0
82,45,0.16,2.2,4,roku,credit_card,ad-supported,0,west,1,1
83,18,0.123,6.4,2,tablet,paypal,student_discount,0,midwest,1,1
84,47,0.31,1.5,4,web,gift_card,premium,1,south,1,1
85,24,0.501,3.9,4,smart_tv,apple_pay,student_discount,0,west,1,0
86,26,0.193,2.9,3,roku,credit_card,ad-supported,0,northeast,1,1
87,25,0.68,6.8,4,mobile,credit_card,ad-supported,1,midwest,1,0
88,45,0.166,6.1,4,smart_tv,paypal,ad-supported,0,south,1,1
89,41,0.445,9.8,3,web,credit_card,ad-supported,0,northeast,1,0
90,29,0.287,6.9,4,mobile,paypal,premium,0,northeast,1,1
91,15,0.205,4.2,4,web,apple_pay,student_discount,0,south,1,1
92,45,0.357,5.8,3,roku,gift_card,premium,0,northeast,1,0
93,1,0.087,2.7,2,smart_tv,gift_card,ad-supported,0,northeast,1,1
94,25,0.238,3.6,3,tablet,apple_pay,student_discount,1,midwest,1,1
95,7,0.213,3.7,4,roku,paypal,ad-supported,1,northeast,1,1
96,9,0.338,1.5,1,roku,paypal,premium,0,northeast,1,1
97,24,0.291,6.6,2,tablet,apple_pay,ad-supported,0,midwest,1,1
98,1,0.348,8.4,3,tablet,credit_card,premium,0,midwest,1,1
99,44,0.422,2.9,2,mobile,credit_card,premium,0,south,0,0
100,8,0.242,3.1,2,web,credit_card,ad-supported,1,south,1,1
