user_id,tenure_months,prior_engagement_score,weekly_watch_hours,num_devices,device_type,payment_method,account_type,has_kids_profile,region,promo_eligible,assigned_promo
0,3,0.323,1.8,5,tablet,apple_pay,ad_supported,0,northeast,1,1
1,29,0.086,3.8,2,smart_tv,gift_card,premium,0,midwest,1,1
2,35,0.435,3.8,3,smart_tv,apple_pay,student_discount,0,northeast,1,0
3,18,0.079,3.3,3,web,gift_card,premium,0,northeast,1,1
4,20,0.31,2.8,2,mobile,gift_card,ad_supported,0,south,1,1
5,23,0.318,5.3,4,roku,credit_card,ad_supported,0,northeast,1,1
6,34,0.041,6.2,1,mobile,credit_card,premium,1,south,1,1
7,33,0.201,1.1,3,smart_tv,credit_card,student_discount,0,south,1,1
8,10,0.561,1.7,1,mobile,credit_card,ad_supported,0,midwest,1,1
9,33,0.301,3.0,2,smart_tv,credit_card,premium,0,northeast,1,1
10,33,0.342,2.4,1,web,credit_card,premium,0,south,1,1
11,26,0.422,0.6,1,mobile,paypal,student_discount,1,midwest,1,1
12,20,0.153,0.9,5,tablet,apple_pay,student_discount,1,west,1,1
13,15,0.18,3.8,5,roku,paypal,premium,0,south,1,1
14,33,0.394,2.7,1,roku,paypal,ad_supported,0,midwest,1,1
15,17,0.273,6.4,2,roku,apple_pay,ad_supported,1,west,1,1
16,5,0.583,3.0,4,web,apple_pay,premium,1,northeast,0,0
17,4,0.706,2.4,2,tablet,credit_card,student_discount,1,south,0,0
18,3,0.35,0.9,4,mobile,credit_card,premium,0,south,1,1
19,21,0.41,0.3,1,smart_tv,credit_card,student_discount,0,midwest,1,1
20,3,0.421,2.4,2,web,apple_pay,premium,0,south,1,1
21,21,0.187,1.0,3,smart_tv,paypal,ad_supported,0,west,0,0
22,8,0.363,2.7,2,roku,gift_card,premium,0,west,1,1
23,29,0.489,4.6,2,roku,apple_pay,premium,0,northeast,1,0
24,34,0.345,1.5,1,web,gift_card,premium,1,midwest,1,1
25,22,0.333,4.5,4,roku,paypal,student_discount,1,midwest,1,1
26,31,0.321,0.3,2,smart_tv,credit_card,premium,0,midwest,1,1
27,28,0.363,2.0,4,tablet,paypal,ad_supported,1,west,1,1
28,35,0.112,2.5,5,roku,credit_card,premium,0,northeast,1,1
29,34,0.487,1.3,5,roku,credit_card,premium,1,midwest,1,1
30,13,0.062,1.2,2,smart_tv,gift_card,premium,0,west,1,1
31,4,0.509,3.6,4,web,credit_card,ad_supported,0,west,1,0
32,6,0.623,2.9,4,smart_tv,apple_pay,student_discount,0,south,1,0
33,1,0.139,2.1,4,roku,gift_card,ad_supported,0,south,1,1
34,12,0.105,0.4,1,roku,paypal,ad_supported,0,south,1,1
35,35,0.675,1.0,5,tablet,apple_pay,ad_supported,0,midwest,1,1
36,11,0.465,0.2,3,web,gift_card,premium,0,midwest,1,1
37,23,0.458,3.0,3,web,apple_pay,student_discount,0,south,0,0
38,14,0.323,1.0,1,web,gift_card,ad_supported,0,midwest,1,1
39,19,0.717,2.9,2,mobile,paypal,student_discount,0,northeast,1,0
40,16,0.469,3.0,4,smart_tv,credit_card,student_discount,0,south,1,0
41,28,0.354,3.0,3,tablet,apple_pay,premium,1,northeast,0,0
42,31,0.064,2.0,3,roku,paypal,ad_supported,0,northeast,1,1
43,7,0.169,0.8,3,roku,gift_card,premium,1,midwest,1,1
44,27,0.123,1.5,5,mobile,gift_card,student_discount,0,northeast,1,1
45,17,0.487,1.1,1,tablet,gift_card,premium,1,west,1,1
46,7,0.46,1.4,5,mobile,apple_pay,student_discount,0,west,1,1
47,15,0.56,2.9,4,smart_tv,credit_card,ad_supported,0,midwest,1,0
48,12,0.095,1.3,1,web,paypal,ad_supported,0,west,1,1
49,8,0.315,1.1,3,roku,credit_card,ad_supported,1,south,1,1
50,2,0.115,7.9,3,web,paypal,premium,0,south,1,1
51,26,0.13,2.5,2,smart_tv,apple_pay,ad_supported,0,west,1,1
52,21,0.431,2.1,1,roku,gift_card,student_discount,0,west,1,1
