user_id,tenure_months,prior_engagement_score,weekly_watch_hours,num_devices,device_type,payment_method,account_type,has_kids_profile,region,promo_eligible,assigned_promo,renewed
0,28,0.337,7.5,4,smart_tv,credit_card,premium,1,west,1,1,1
1,38,0.232,4.3,5,roku,credit_card,student_discount,0,midwest,0,0,0
2,44,0.201,1.6,4,smart_tv,apple_pay,ad_supported,0,west,1,1,1
3,26,0.413,5.1,3,tablet,paypal,student_discount,0,northeast,1,0,1
4,43,0.1,3.6,1,tablet,apple_pay,ad_supported,0,northeast,1,1,1
5,48,0.365,1.2,2,tablet,paypal,ad_supported,0,south,1,1,1
6,29,0.335,3.4,2,mobile,paypal,premium,1,west,0,0,1
7,47,0.413,2.3,1,tablet,credit_card,premium,0,west,1,1,1
8,16,0.35,4.6,5,web,paypal,ad_supported,0,northeast,1,1,0
9,46,0.411,5.0,3,tablet,credit_card,ad_supported,0,midwest,1,0,1
10,46,0.164,2.8,2,web,credit_card,ad_supported,0,west,1,1,1
11,38,0.302,1.2,1,smart_tv,gift_card,premium,0,midwest,1,1,0
12,29,0.132,0.4,5,roku,apple_pay,student_discount,0,midwest,1,1,1
13,40,0.312,1.4,3,web,credit_card,student_discount,0,midwest,1,1,1
14,18,0.292,11.0,2,mobile,credit_card,ad_supported,0,northeast,1,1,1
15,12,0.3,7.2,5,tablet,credit_card,premium,1,west,1,1,1
16,41,0.313,1.4,1,tablet,apple_pay,premium,1,west,1,1,1
17,14,0.387,1.2,1,tablet,paypal,premium,0,west,1,1,1
18,6,0.155,11.7,5,mobile,paypal,student_discount,1,south,1,1,1
19,35,0.399,1.7,5,smart_tv,paypal,ad_supported,1,south,0,0,1
20,15,0.496,2.1,5,tablet,gift_card,ad_supported,0,south,1,1,1
21,21,0.354,1.7,2,roku,apple_pay,ad_supported,0,midwest,1,1,1
22,35,0.455,1.6,3,smart_tv,apple_pay,premium,0,west,1,1,0
23,3,0.179,4.2,5,web,gift_card,ad_supported,0,northeast,0,0,0
24,44,0.679,7.1,3,web,apple_pay,ad_supported,0,midwest,1,0,1
25,41,0.101,1.2,5,web,credit_card,student_discount,0,midwest,1,1,1
26,5,0.682,3.5,5,smart_tv,credit_card,student_discount,0,south,1,1,1
27,9,0.115,3.6,3,web,credit_card,ad_supported,1,northeast,1,1,1
28,22,0.176,2.7,5,roku,paypal,ad_supported,0,northeast,1,1,1
29,39,0.107,5.6,1,web,gift_card,ad_supported,0,midwest,1,1,1
30,17,0.18,0.7,3,roku,apple_pay,premium,0,west,0,0,0
31,42,0.528,5.0,1,tablet,apple_pay,student_discount,0,west,1,0,1
32,11,0.787,2.4,2,tablet,paypal,ad_supported,0,northeast,1,1,0
33,9,0.179,1.8,2,smart_tv,credit_card,premium,0,northeast,1,1,1
34,45,0.613,0.7,4,roku,gift_card,premium,0,northeast,0,0,1
35,36,0.262,4.2,1,roku,credit_card,premium,1,south,0,0,0
36,46,0.177,1.8,3,web,apple_pay,premium,0,west,1,1,1
37,36,0.286,5.6,5,smart_tv,paypal,ad_supported,0,west,1,1,1
38,46,0.189,4.4,1,tablet,paypal,student_discount,0,west,1,1,1
39,23,0.052,8.1,4,web,gift_card,premium,0,midwest,1,1,1
40,36,0.06,3.1,4,roku,paypal,premium,1,northeast,1,1,1
41,42,0.232,3.2,2,smart_tv,credit_card,premium,0,west,1,1,1
42,23,0.178,2.7,3,roku,gift_card,premium,1,midwest,0,0,0
43,11,0.08,4.0,5,smart_tv,credit_card,student_discount,0,northeast,1,1,0
44,22,0.336,2.3,2,tablet,credit_card,ad_supported,0,midwest,0,0,1
45,18,0.156,5.8,4,tablet,gift_card,student_discount,0,west,1,1,1
46,7,0.014,1.2,1,roku,paypal,ad_supported,0,northeast,1,1,1
47,45,0.378,5.9,2,tablet,credit_card,ad_supported,0,south,1,1,1
48,45,0.215,4.7,5,roku,credit_card,student_discount,0,midwest,1,1,1
49,44,0.34,6.2,3,web,apple_pay,premium,0,south,1,1,1
50,32,0.592,5.9,2,roku,gift_card,premium,0,midwest,0,0,0
51,12,0.065,3.3,4,web,credit_card,premium,0,northeast,0,0,0
52,44,0.278,2.0,4,mobile,paypal,premium,1,west,0,0,1
53,22,0.521,8.4,2,smart_tv,paypal,student_discount,0,west,1,0,0
54,27,0.557,0.3,4,tablet,paypal,student_discount,0,west,1,1,1
55,47,0.178,1.0,2,tablet,paypal,student_discount,1,west,0,0,1
56,46,0.138,1.8,4,smart_tv,paypal,premium,1,south,1,1,1
57,26,0.156,3.4,4,web,apple_pay,student_discount,0,midwest,1,1,1
58,13,0.155,1.6,1,mobile,paypal,student_discount,0,northeast,0,0,0
59,21,0.118,3.0,4,roku,paypal,ad_supported,0,midwest,1,1,1
60,3,0.426,5.6,3,tablet,paypal,student_discount,0,west,1,1,0
61,5,0.354,3.5,4,web,gift_card,student_discount,0,west,0,0,0
62,16,0.11,1.1,5,tablet,paypal,ad_supported,1,midwest,1,1,1
63,6,0.194,0.7,1,web,credit_card,student_discount,0,midwest,1,1,0
64,5,0.147,1.9,4,tablet,apple_pay,ad_supported,1,northeast,0,0,0
65,22,0.155,4.9,2,tablet,gift_card,ad_supported,0,south,1,1,1
66,32,0.083,1.5,3,web,apple_pay,premium,0,northeast,1,1,1
67,34,0.212,2.6,1,roku,gift_card,ad_supported,0,south,1,1,1
68,11,0.239,6.1,3,mobile,paypal,ad_supported,0,south,0,0,1
69,28,0.493,2.5,4,tablet,credit_card,ad_supported,0,west,1,0,1
70,26,0.334,7.6,2,roku,apple_pay,student_discount,1,midwest,1,1,1
71,5,0.081,0.7,3,tablet,paypal,student_discount,0,south,1,1,1
72,12,0.089,1.2,1,smart_tv,gift_card,ad_supported,0,northeast,1,1,0
73,44,0.171,5.2,2,tablet,apple_pay,premium,0,northeast,1,1,1
74,31,0.072,4.5,1,tablet,apple_pay,ad_supported,0,northeast,1,1,1
75,29,0.237,0.3,3,tablet,paypal,ad_supported,0,northeast,1,1,1
76,6,0.201,5.2,2,web,gift_card,premium,0,midwest,1,1,1
77,48,0.222,0.2,2,web,paypal,premium,1,northeast,1,1,1
78,8,0.294,6.0,1,web,credit_card,premium,0,west,1,1,0
79,24,0.375,2.2,1,tablet,credit_card,ad_supported,0,south,1,1,1
80,13,0.166,7.5,3,mobile,credit_card,premium,1,northeast,1,1,1
81,42,0.442,4.9,5,roku,credit_card,premium,0,northeast,1,0,1
82,44,0.554,2.0,3,mobile,credit_card,premium,0,south,1,1,1
83,48,0.501,3.3,4,mobile,credit_card,student_discount,0,west,1,0,1
84,26,0.135,1.4,5,smart_tv,apple_pay,student_discount,0,northeast,1,1,1
85,16,0.272,1.4,4,roku,credit_card,student_discount,0,midwest,1,1,1
86,21,0.366,2.8,4,mobile,apple_pay,premium,1,northeast,1,1,0
87,18,0.323,5.9,4,roku,gift_card,student_discount,1,northeast,1,1,1
88,27,0.237,1.9,2,roku,credit_card,student_discount,1,northeast,1,1,1
89,33,0.174,3.4,4,tablet,paypal,student_discount,1,midwest,1,1,1
90,15,0.105,1.9,4,web,apple_pay,student_discount,0,west,1,1,1
91,47,0.156,5.4,1,web,gift_card,premium,0,west,1,1,1
92,13,0.211,5.5,2,tablet,credit_card,ad_supported,0,northeast,1,1,1
93,9,0.159,1.2,1,tablet,paypal,premium,0,midwest,0,0,1
94,36,0.186,4.3,5,mobile,credit_card,student_discount,0,south,1,1,1
95,9,0.484,3.7,1,tablet,paypal,premium,0,south,1,0,1
96,16,0.094,2.6,5,web,credit_card,student_discount,1,west,1,1,1
97,28,0.196,3.5,5,mobile,gift_card,premium,1,south,1,1,1
98,16,0.078,10.5,3,mobile,apple_pay,premium,0,west,1,1,1
99,31,0.137,4.0,1,smart_tv,apple_pay,premium,0,northeast,1,1,1
100,17,0.164,4.9,3,tablet,apple_pay,premium,0,midwest,1,1,0
101,40,0.415,16.8,2,web,apple_pay,ad_supported,0,northeast,1,0,1
102,45,0.735,4.9,4,mobile,paypal,student_discount,0,west,1,0,1
103,11,0.364,2.3,5,web,credit_card,student_discount,0,south,1,1,1
104,34,0.341,1.2,3,mobile,apple_pay,student_discount,0,south,1,1,1
105,37,0.393,4.0,5,web,credit_card,student_discount,0,midwest,1,1,1
106,8,0.253,2.4,3,tablet,apple_pay,student_discount,0,northeast,0,0,1
107,20,0.109,2.5,4,roku,apple_pay,ad_supported,0,west,1,1,1
108,38,0.454,5.2,1,mobile,gift_card,ad_supported,0,west,1,0,1
109,45,0.266,3.2,2,smart_tv,credit_card,premium,1,south,1,1,1
110,45,0.129,2.3,4,mobile,gift_card,premium,0,south,1,1,1
111,26,0.207,0.4,5,tablet,paypal,student_discount,0,midwest,1,1,1
112,44,0.583,2.5,3,smart_tv,credit_card,ad_supported,1,south,1,0,1
113,15,0.152,1.2,5,smart_tv,gift_card,ad_supported,1,northeast,1,1,1
114,21,0.291,2.4,1,smart_tv,credit_card,ad_supported,0,west,1,1,1
115,43,0.585,16.6,1,tablet,credit_card,ad_supported,1,northeast,1,0,1
116,35,0.424,2.1,4,smart_tv,gift_card,ad_supported,0,south,1,1,1
117,14,0.238,3.3,3,mobile,gift_card,premium,0,midwest,1,1,0
118,12,0.039,2.6,2,roku,credit_card,ad_supported,0,west,0,0,0
119,27,0.059,5.1,2,tablet,apple_pay,ad_supported,0,west,1,1,1
120,27,0.085,6.7,3,smart_tv,apple_pay,ad_supported,0,south,1,1,1
121,25,0.126,1.6,3,mobile,credit_card,ad_supported,1,south,1,1,1
122,30,0.358,1.3,3,tablet,apple_pay,student_discount,0,midwest,1,1,1
123,46,0.359,2.7,5,smart_tv,gift_card,ad_supported,1,midwest,1,1,1
124,5,0.033,9.4,4,tablet,apple_pay,premium,0,midwest,1,1,1
125,40,0.535,9.4,5,roku,paypal,ad_supported,0,northeast,1,0,1
126,29,0.163,3.3,4,smart_tv,apple_pay,premium,0,midwest,1,1,1
127,46,0.395,4.9,4,tablet,paypal,student_discount,0,west,1,1,1
128,42,0.027,1.7,2,tablet,credit_card,premium,0,midwest,1,1,1
129,44,0.493,1.4,2,smart_tv,paypal,ad_supported,0,midwest,1,1,1
130,10,0.094,8.5,3,web,apple_pay,premium,1,northeast,0,0,1
131,23,0.069,0.8,2,mobile,credit_card,ad_supported,1,south,0,0,1
132,1,0.167,7.1,2,tablet,credit_card,ad_supported,1,northeast,1,1,1
133,27,0.319,5.7,4,web,credit_card,ad_supported,1,west,1,1,1
134,1,0.202,1.1,4,tablet,gift_card,student_discount,0,west,1,1,1
135,12,0.19,6.4,1,mobile,paypal,premium,1,south,1,1,1
136,12,0.13,1.2,4,roku,gift_card,ad_supported,0,midwest,1,1,1
137,25,0.385,3.1,2,smart_tv,gift_card,ad_supported,0,west,1,1,1
138,14,0.173,2.6,4,tablet,credit_card,student_discount,0,northeast,1,1,1
139,14,0.036,0.6,4,web,apple_pay,premium,0,northeast,0,0,0
140,38,0.337,3.2,1,mobile,apple_pay,student_discount,1,midwest,1,1,1
141,39,0.021,3.8,3,tablet,apple_pay,premium,0,northeast,1,1,1
142,23,0.376,5.4,5,web,credit_card,premium,0,midwest,1,1,1
143,47,0.462,1.8,3,roku,credit_card,student_discount,0,midwest,1,1,1
144,4,0.238,2.4,4,roku,paypal,student_discount,0,south,1,1,1
145,16,0.284,2.5,2,web,credit_card,ad_supported,0,midwest,0,0,0
146,44,0.318,5.4,3,tablet,apple_pay,premium,0,west,1,1,1
147,30,0.459,2.2,4,web,apple_pay,premium,1,northeast,1,1,1
148,41,0.187,2.7,5,web,credit_card,ad_supported,1,west,1,1,1
149,39,0.366,3.8,3,mobile,paypal,premium,0,south,1,1,1
150,22,0.15,1.0,1,tablet,credit_card,student_discount,0,south,1,1,1
151,17,0.432,2.0,5,mobile,credit_card,ad_supported,0,northeast,1,1,1
152,39,0.46,2.6,5,tablet,apple_pay,ad_supported,0,midwest,1,0,1
153,47,0.678,8.5,3,smart_tv,paypal,ad_supported,1,west,1,0,1
154,16,0.313,1.2,4,roku,gift_card,premium,1,northeast,1,1,1
155,12,0.304,3.7,1,roku,apple_pay,premium,1,west,1,1,1
156,22,0.457,2.7,3,smart_tv,credit_card,ad_supported,0,west,1,0,1
157,24,0.091,1.4,4,web,credit_card,ad_supported,0,midwest,0,0,1
158,19,0.122,1.5,3,smart_tv,paypal,premium,0,south,1,1,1
159,3,0.06,1.9,2,mobile,gift_card,student_discount,0,northeast,1,1,1
160,34,0.734,5.1,4,web,paypal,student_discount,0,west,1,0,1
161,11,0.359,3.6,4,tablet,apple_pay,student_discount,0,south,1,1,1
162,26,0.268,9.7,1,smart_tv,gift_card,student_discount,0,midwest,1,1,1
163,3,0.172,1.2,3,tablet,gift_card,premium,0,west,1,1,0
164,37,0.604,3.6,5,web,paypal,student_discount,0,south,1,0,1
165,17,0.285,3.0,5,mobile,apple_pay,ad_supported,0,midwest,1,1,1
166,3,0.546,10.4,5,tablet,gift_card,ad_supported,0,northeast,1,1,1
167,7,0.102,2.3,4,smart_tv,gift_card,student_discount,0,west,1,1,0
168,20,0.121,9.1,4,tablet,credit_card,ad_supported,0,south,1,1,1
169,14,0.167,0.5,1,mobile,gift_card,ad_supported,1,northeast,1,1,1
170,18,0.408,4.0,2,web,paypal,ad_supported,0,midwest,1,0,0
171,39,0.565,1.5,3,smart_tv,gift_card,student_discount,0,west,1,1,1
172,18,0.08,3.8,4,mobile,apple_pay,student_discount,0,west,1,1,1
173,1,0.327,6.6,4,mobile,credit_card,student_discount,0,midwest,1,1,1
174,27,0.186,2.2,1,mobile,paypal,premium,1,west,1,1,1
175,44,0.153,1.9,2,web,apple_pay,student_discount,0,northeast,1,1,1
176,28,0.356,2.5,1,tablet,apple_pay,premium,1,midwest,1,1,1
177,8,0.538,5.3,2,roku,credit_card,ad_supported,0,northeast,1,0,1
178,33,0.09,4.3,2,tablet,credit_card,student_discount,1,northeast,1,1,1
179,14,0.047,2.5,3,smart_tv,apple_pay,student_discount,0,west,1,1,1
180,10,0.164,2.1,5,web,paypal,ad_supported,1,south,1,1,0
181,13,0.249,0.3,3,tablet,apple_pay,premium,1,south,0,0,0
182,15,0.08,2.4,2,mobile,apple_pay,student_discount,0,northeast,1,1,1
183,10,0.191,2.9,5,web,paypal,premium,0,northeast,1,1,0
184,16,0.656,2.0,2,tablet,credit_card,premium,0,south,1,1,1
185,32,0.414,5.9,5,smart_tv,paypal,premium,0,south,0,0,1
186,12,0.223,2.5,3,mobile,gift_card,student_discount,0,west,0,0,1
187,35,0.483,3.6,5,web,apple_pay,student_discount,0,midwest,0,0,1
188,6,0.202,7.1,3,smart_tv,gift_card,ad_supported,0,midwest,1,1,1
189,32,0.518,1.8,3,tablet,paypal,student_discount,1,west,1,1,1
190,44,0.609,3.7,1,roku,gift_card,ad_supported,1,south,1,0,1
191,5,0.381,1.2,1,mobile,gift_card,student_discount,0,west,1,1,1
192,21,0.357,10.3,2,smart_tv,apple_pay,premium,1,northeast,1,1,1
193,26,0.675,7.1,4,roku,gift_card,student_discount,0,south,1,0,1
194,6,0.381,2.3,4,smart_tv,gift_card,ad_supported,0,south,0,0,1
195,14,0.657,1.4,4,tablet,apple_pay,ad_supported,1,south,1,1,0
196,5,0.158,2.8,4,roku,gift_card,student_discount,0,west,1,1,1
197,24,0.397,2.4,2,smart_tv,paypal,student_discount,0,midwest,1,1,1
198,33,0.274,3.5,1,roku,credit_card,student_discount,0,west,1,1,1
199,7,0.176,0.5,3,web,gift_card,premium,0,south,1,1,1
200,20,0.765,1.8,1,tablet,credit_card,premium,0,midwest,1,1,1
201,10,0.124,3.0,2,smart_tv,paypal,ad_supported,1,south,1,1,1
202,6,0.526,6.6,5,roku,apple_pay,premium,0,northeast,1,0,1
203,30,0.157,1.1,4,web,apple_pay,premium,1,midwest,1,1,1
204,40,0.152,0.4,5,web,credit_card,premium,0,midwest,1,1,1
205,30,0.542,2.9,4,smart_tv,apple_pay,ad_supported,0,midwest,0,0,0
206,44,0.331,2.2,3,web,credit_card,premium,0,midwest,1,1,1
207,29,0.083,10.1,5,web,gift_card,student_discount,0,west,1,1,1
208,14,0.467,7.3,1,mobile,credit_card,premium,1,west,1,0,1
209,7,0.156,3.4,2,roku,apple_pay,student_discount,0,south,1,1,1
210,10,0.53,0.3,1,mobile,credit_card,premium,0,midwest,1,1,0
211,47,0.303,4.5,4,roku,paypal,premium,1,west,1,1,1
212,45,0.363,5.2,3,tablet,apple_pay,ad_supported,0,midwest,0,0,1
213,42,0.126,8.4,1,tablet,paypal,premium,0,west,1,1,1
214,45,0.081,0.7,3,tablet,gift_card,ad_supported,0,south,1,1,1
215,13,0.379,5.5,2,smart_tv,gift_card,student_discount,0,northeast,0,0,1
216,30,0.17,2.7,1,roku,apple_pay,ad_supported,1,south,1,1,1
217,12,0.121,0.4,3,web,credit_card,premium,1,northeast,1,1,1
218,45,0.264,2.7,1,roku,credit_card,ad_supported,0,west,1,1,1
219,9,0.35,1.5,2,tablet,gift_card,premium,1,midwest,1,1,1
220,21,0.214,9.1,2,web,apple_pay,premium,1,west,1,1,1
221,19,0.337,7.3,1,mobile,paypal,ad_supported,1,midwest,0,0,0
222,47,0.093,3.8,5,roku,paypal,premium,0,south,0,0,1
223,48,0.189,1.5,5,tablet,paypal,premium,1,south,1,1,1
224,32,0.189,2.2,1,tablet,apple_pay,student_discount,0,northeast,1,1,1
225,12,0.613,3.8,4,roku,apple_pay,student_discount,0,west,1,0,1
226,31,0.243,1.9,2,smart_tv,paypal,ad_supported,1,midwest,1,1,1
227,25,0.614,1.7,2,web,paypal,student_discount,0,west,1,1,0
228,25,0.108,3.4,3,web,apple_pay,premium,1,northeast,1,1,1
229,37,0.214,3.1,5,mobile,credit_card,student_discount,0,west,1,1,1
230,10,0.442,3.8,5,smart_tv,apple_pay,premium,0,west,1,0,0
231,1,0.403,1.8,4,roku,credit_card,student_discount,0,northeast,1,1,1
232,2,0.518,3.0,4,smart_tv,gift_card,premium,0,northeast,1,1,1
233,33,0.458,4.3,2,roku,paypal,ad_supported,0,northeast,1,0,0
234,19,0.598,1.4,3,mobile,credit_card,premium,1,northeast,1,1,1
235,32,0.465,13.6,3,roku,paypal,student_discount,0,midwest,0,0,1
236,15,0.25,0.0,2,web,gift_card,premium,1,northeast,1,1,1
237,35,0.247,3.3,5,web,credit_card,premium,1,west,1,1,1
238,4,0.384,2.4,5,smart_tv,apple_pay,premium,0,midwest,0,0,1
239,8,0.572,3.7,2,mobile,credit_card,student_discount,1,midwest,1,0,1
240,30,0.257,1.3,5,roku,paypal,premium,0,midwest,1,1,1
241,14,0.695,6.5,1,tablet,gift_card,premium,1,west,1,0,1
242,20,0.203,2.0,4,tablet,apple_pay,student_discount,1,midwest,1,1,1
243,46,0.273,5.6,4,smart_tv,apple_pay,ad_supported,0,south,1,1,1
244,7,0.232,5.2,2,mobile,gift_card,premium,1,northeast,0,0,0
245,48,0.391,5.0,2,web,credit_card,student_discount,0,northeast,1,1,1
246,5,0.504,3.6,4,smart_tv,gift_card,premium,0,south,1,1,0
247,16,0.351,1.8,1,tablet,paypal,student_discount,1,west,1,1,1
248,38,0.46,4.1,1,smart_tv,paypal,premium,0,west,1,0,1
249,15,0.33,0.9,5,roku,paypal,ad_supported,0,south,1,1,1
250,16,0.547,3.6,2,tablet,apple_pay,premium,0,south,1,0,0
251,46,0.245,2.6,1,web,paypal,ad_supported,1,south,1,1,1
252,34,0.133,0.8,5,web,credit_card,student_discount,1,northeast,1,1,1
253,15,0.356,6.5,4,tablet,apple_pay,student_discount,0,south,1,1,0
254,11,0.136,2.6,5,tablet,apple_pay,student_discount,0,northeast,1,1,1
255,34,0.506,1.6,2,mobile,credit_card,student_discount,0,midwest,0,0,1
256,41,0.237,1.1,2,web,paypal,ad_supported,1,northeast,1,1,1
257,3,0.029,5.0,2,smart_tv,gift_card,ad_supported,0,northeast,1,1,1
258,25,0.4,3.1,5,tablet,credit_card,student_discount,1,northeast,1,0,1
259,6,0.158,5.4,1,web,gift_card,premium,0,northeast,0,0,1
260,41,0.455,5.2,2,tablet,paypal,premium,1,northeast,1,0,1
261,39,0.444,0.6,2,tablet,gift_card,student_discount,0,south,0,0,0
262,32,0.295,4.0,5,mobile,credit_card,ad_supported,1,midwest,1,1,1
263,21,0.24,5.0,3,roku,apple_pay,premium,0,west,0,0,0
264,42,0.283,1.8,3,smart_tv,paypal,student_discount,0,northeast,0,0,0
265,11,0.345,1.1,4,roku,credit_card,student_discount,1,west,1,1,1
266,42,0.361,1.0,5,smart_tv,credit_card,student_discount,0,west,1,1,1
267,7,0.126,3.0,2,mobile,apple_pay,student_discount,1,west,1,1,1
268,37,0.177,1.8,5,roku,apple_pay,student_discount,1,west,0,0,0
269,28,0.175,1.0,5,web,apple_pay,ad_supported,0,midwest,1,1,1
270,5,0.298,2.5,4,tablet,gift_card,ad_supported,0,west,1,1,1
271,27,0.253,11.0,4,mobile,paypal,ad_supported,0,northeast,1,1,1
272,7,0.508,2.4,4,web,apple_pay,premium,1,south,0,0,1
273,3,0.355,6.9,5,smart_tv,paypal,ad_supported,0,south,0,0,1
274,29,0.278,0.9,3,tablet,paypal,ad_supported,0,south,1,1,1
275,47,0.269,1.0,4,mobile,paypal,ad_supported,1,midwest,1,1,1
276,39,0.118,6.2,2,tablet,gift_card,premium,0,west,1,1,1
277,48,0.347,5.4,1,roku,apple_pay,premium,0,northeast,1,1,1
278,7,0.454,6.8,5,roku,credit_card,student_discount,1,west,1,0,0
279,38,0.22,1.3,3,web,credit_card,premium,0,midwest,1,1,1
280,17,0.074,3.3,4,smart_tv,apple_pay,premium,0,south,1,1,1
281,42,0.215,8.5,1,smart_tv,credit_card,premium,0,midwest,1,1,1
282,28,0.233,5.5,3,web,credit_card,ad_supported,0,south,1,1,1
283,24,0.298,7.7,1,roku,paypal,ad_supported,1,midwest,1,1,1
284,22,0.286,2.6,3,mobile,apple_pay,premium,0,northeast,1,1,1
285,43,0.063,1.9,3,mobile,apple_pay,ad_supported,0,south,1,1,1
286,19,0.128,5.3,4,roku,paypal,ad_supported,0,midwest,1,1,1
287,30,0.292,3.3,3,tablet,paypal,student_discount,0,west,1,1,1
288,40,0.405,0.8,3,mobile,paypal,ad_supported,0,west,0,0,1
