user_id,tenure_months,prior_engagement_score,weekly_watch_hours,num_devices,device_type,payment_method,account_type,has_kids_profile,region,promo_eligible,assigned_promo,renewed,propensity_score
0,28,0.337,7.5,4,smart_tv,credit_card,premium,1,west,1,1,1,0.7560257901937422
1,38,0.232,4.3,5,roku,credit_card,student_discount,0,midwest,0,0,0,0.00062787161116969
2,44,0.201,1.6,4,smart_tv,apple_pay,ad_supported,0,west,1,1,1,0.9941945894020601
3,26,0.413,5.1,3,tablet,paypal,student_discount,0,northeast,1,0,1,0.787660643587353
4,43,0.1,3.6,1,tablet,apple_pay,ad_supported,0,northeast,1,1,1,0.9982977309868363
5,48,0.365,1.2,2,tablet,paypal,ad_supported,0,south,1,1,1,0.9504169573403612
6,29,0.335,3.4,2,mobile,paypal,premium,1,west,0,0,1,0.00023953019003842746
7,47,0.413,2.3,1,tablet,credit_card,premium,0,west,1,1,1,0.8729933143281122
8,16,0.35,4.6,5,web,paypal,ad_supported,0,northeast,1,1,0,0.9376843028962331
9,46,0.411,5.0,3,tablet,credit_card,ad_supported,0,midwest,1,0,1,0.7318036346381919
10,46,0.164,2.8,2,web,credit_card,ad_supported,0,west,1,1,1,0.9948202118532842
11,38,0.302,1.2,1,smart_tv,gift_card,premium,0,midwest,1,1,0,0.9882486680898211
12,29,0.132,0.4,5,roku,apple_pay,student_discount,0,midwest,1,1,1,0.9992629215283736
13,40,0.312,1.4,3,web,credit_card,student_discount,0,midwest,1,1,1,0.9739613981899433
14,18,0.292,11.0,2,mobile,credit_card,ad_supported,0,northeast,1,1,1,0.7393207354498162
15,12,0.3,7.2,5,tablet,credit_card,premium,1,west,1,1,1,0.9309323190735542
16,41,0.313,1.4,1,tablet,apple_pay,premium,1,west,1,1,1,0.9786746775339461
17,14,0.387,1.2,1,tablet,paypal,premium,0,west,1,1,1,0.9803234720943812
18,6,0.155,11.7,5,mobile,paypal,student_discount,1,south,1,1,1,0.9402117045854897
19,35,0.399,1.7,5,smart_tv,paypal,ad_supported,1,south,0,0,1,0.00010289799512636633
20,15,0.496,2.1,5,tablet,gift_card,ad_supported,0,south,1,1,1,0.8368118355743444
21,21,0.354,1.7,2,roku,apple_pay,ad_supported,0,midwest,1,1,1,0.9785603568781396
22,35,0.455,1.6,3,smart_tv,apple_pay,premium,0,west,1,1,0,0.833063599675784
23,3,0.179,4.2,5,web,gift_card,ad_supported,0,northeast,0,0,0,0.005338018673584177
24,44,0.679,7.1,3,web,apple_pay,ad_supported,0,midwest,1,0,1,0.01639536005475601
25,41,0.101,1.2,5,web,credit_card,student_discount,0,midwest,1,1,1,0.9989800756248778
26,5,0.682,3.5,5,smart_tv,credit_card,student_discount,0,south,1,1,1,0.09980821100089199
27,9,0.115,3.6,3,web,credit_card,ad_supported,1,northeast,1,1,1,0.9987105898250952
28,22,0.176,2.7,5,roku,paypal,ad_supported,0,northeast,1,1,1,0.9975884956613721
29,39,0.107,5.6,1,web,gift_card,ad_supported,0,midwest,1,1,1,0.9966947119864917
30,17,0.18,0.7,3,roku,apple_pay,premium,0,west,0,0,0,0.013098533703377999
31,42,0.528,5.0,1,tablet,apple_pay,student_discount,0,west,1,0,1,0.27000601791351286
32,11,0.787,2.4,2,tablet,paypal,ad_supported,0,northeast,1,1,0,0.06060777959190981
33,9,0.179,1.8,2,smart_tv,credit_card,premium,0,northeast,1,1,1,0.9986768981996198
34,45,0.613,0.7,4,roku,gift_card,premium,0,northeast,0,0,1,8.014951248259739e-06
35,36,0.262,4.2,1,roku,credit_card,premium,1,south,0,0,0,0.0003922015331974962
